sim_time,cart_joint_position,pole_joint_position,cart_joint_velocity,pole_joint_velocity,control_input_0
0.002000000,0.300539340,0.300435540,0.269670178,0.217770036,-16.752000000
0.022000000,0.303029625,0.297218318,0.019089478,-0.425806267,-11.946061710
0.042000000,0.301375721,0.284007611,-0.156637547,-0.822499257,-8.543453021
0.062000000,0.296817618,0.264801829,-0.279583051,-1.052636633,-6.105225504
0.082000000,0.290235337,0.242306810,-0.364893570,-1.169981995,-4.346200870
0.102000000,0.282258335,0.218348557,-0.423224237,-1.211599692,-3.070633558
0.122000000,0.273338638,0.194141780,-0.462151849,-1.203362438,-2.139852156
0.142000000,0.263801910,0.170474222,-0.487073984,-1.163320738,-1.454501161
0.162000000,0.253883895,0.147836975,-0.501826886,-1.103954200,-0.943530098
0.182000000,0.243756522,0.126517482,-0.509129795,-1.033769024,-0.556562441
0.202000000,0.233546507,0.106665598,-0.510909446,-0.958462053,-0.258254101
0.222000000,0.223348479,0.088339983,-0.508536160,-0.881770606,-0.024043403
0.242000000,0.213234154,0.071540209,-0.502993350,-0.806085828,0.163024278
0.262000000,0.203258681,0.056228639,-0.494997269,-0.732888008,0.314622816
0.282000000,0.193465020,0.042345127,-0.485080259,-0.663050079,0.438811991
0.302000000,0.183886955,0.029816738,-0.473647828,-0.597045725,0.541206643
0.322000000,0.174551183,0.018564097,-0.461017334,-0.535089961,0.625781825
0.342000000,0.165478773,0.008505469,-0.447443984,-0.477232871,0.695418661
0.362000000,0.156686203,-0.000440668,-0.433138223,-0.423421386,0.752269640
0.382000000,0.148186124,-0.008354030,-0.418277325,-0.373539601,0.798000441
0.402000000,0.139987932,-0.015311576,-0.403013167,-0.327434808,0.833948605
0.422000000,0.132098213,-0.021386967,-0.387477467,-0.284934168,0.861226854
0.442000000,0.124521106,-0.026650289,-0.371785369,-0.245855268,0.880789978
0.462000000,0.117258606,-0.031167939,-0.356037967,-0.210012734,0.893477928
0.482000000,0.110310821,-0.035002614,-0.340324122,-0.177222322,0.900043512
0.502000000,0.103676207,-0.038213361,-0.324721835,-0.147303396,0.901170198
0.522000000,0.097351766,-0.040855669,-0.309299337,-0.120080405,0.897483648
0.542000000,0.091333236,-0.042981582,-0.294115975,-0.095383722,0.889559281
0.562000000,0.085615257,-0.044639819,-0.279222988,-0.073050100,0.877927405
0.582000000,0.080191528,-0.045875907,-0.264664187,-0.052922893,0.863076840
0.602000000,0.075054947,-0.046732313,-0.250476583,-0.034852132,0.845457665
0.622000000,0.070197743,-0.047248580,-0.236690963,-0.018694517,0.825483456
0.642000000,0.065611590,-0.047461456,-0.223332435,-0.004313366,0.803533233
0.662000000,0.061287719,-0.047405028,-0.210420937,0.008421480,0.779953278
0.682000000,0.057217015,-0.047110850,-0.197971720,0.019633759,0.755058867
0.702000000,0.053390104,-0.046608071,-0.185995800,0.029440908,0.729135983
0.722000000,0.049797434,-0.045923560,-0.174500388,0.037954196,0.702443001
0.742000000,0.046429349,-0.045082028,-0.163489290,0.045278861,0.675212365
0.762000000,0.043276149,-0.044106143,-0.152963283,0.051514261,0.647652246
0.782000000,0.040328149,-0.043016652,-0.142920462,0.056754029,0.619948165
0.800000000,0.037575728,-0.041832489,-0.133356566,0.061086243,0.595027741
0.822000000,0.035009375,-0.040570888,-0.124265281,0.064593591,0.564746444
0.842000000,0.032619722,-0.039247484,-0.115638513,0.067353559,0.537520663
0.860000000,0.030612518,-0.038015298,-0.108263661,0.069258513,0.513358919
0.882000000,0.028333981,-0.036470445,-0.099738762,0.070916381,0.484372173
0.902000000,0.026420163,-0.035041000,-0.092442882,0.071849870,0.458625642
0.922000000,0.024647630,-0.033598322,-0.085566129,0.072297641,0.433526338
0.942000000,0.023008149,-0.032151520,-0.079094918,0.072314018,0.409131055
0.962000000,0.021493762,-0.030708662,-0.073015110,0.071949286,0.385486078
0.982000000,0.020096802,-0.029276854,-0.067312156,0.071249891,0.362628187
1.002000000,0.018809894,-0.027862312,-0.061971222,0.070258635,0.340585601
1.022000000,0.017625963,-0.026470435,-0.056977303,0.069014870,0.319378843
