sim_time,cart_joint_position,pole_joint_position,cart_joint_velocity,pole_joint_velocity,control_input_0
0.006000000,0.301444506,0.300842236,0.212174675,0.064145739,-15.649471953
0.026000000,0.302984369,0.295224689,-0.021210389,-0.521827857,-11.170317218
0.046000000,0.300663926,0.280544043,-0.184884416,-0.879828941,-7.989453002
0.066000000,0.295639890,0.260496882,-0.299261350,-1.083746234,-5.706368507
0.086000000,0.288734870,0.237585908,-0.378438092,-1.183400440,-4.057529219
0.106000000,0.280537838,0.213496684,-0.432362450,-1.213267094,-2.860556637
0.126000000,0.271472008,0.189345827,-0.468114705,-1.197430545,-1.985773049
0.146000000,0.261842526,0.165852703,-0.490737362,-1.152672459,-1.340225778
0.166000000,0.251870561,0.143461223,-0.503812124,-1.090566094,-0.857533252
0.186000000,0.241717708,0.122426745,-0.509876969,-1.018974059,-0.490726307
0.206000000,0.231503364,0.102877701,-0.510730869,-0.943141836,-0.206919263
0.226000000,0.221316947,0.084858741,-0.507655012,-0.866494889,0.016704241
0.246000000,0.211226424,0.068360513,-0.501571139,-0.791212186,0.195880241
0.266000000,0.201284206,0.053339890,-0.493153029,-0.718631782,0.341444537
0.286000000,0.191531213,0.039733518,-0.482903778,-0.649532626,0.460887771
0.306000000,0.181999669,0.027466751,-0.471208644,-0.584327177,0.559442047
0.326000000,0.172715044,0.016459475,-0.458370801,-0.523191170,0.640826721
0.346000000,0.163697415,0.006629827,-0.444635333,-0.466149929,0.707752620
0.366000000,0.154962443,-0.002103456,-0.430205267,-0.413135138,0.762258675
0.386000000,0.146522086,-0.009819597,-0.415252275,-0.364021806,0.805934352
0.406000000,0.138385145,-0.016594931,-0.399923846,-0.318652099,0.840065350
0.426000000,0.130557690,-0.022502418,-0.384348135,-0.276850570,0.865728368
0.446000000,0.123043408,-0.027611413,-0.368637303,-0.238433783,0.883852373
0.466000000,0.115843899,-0.031987571,-0.352889869,-0.203216326,0.895258053
0.486000000,0.108958921,-0.035692851,-0.337192422,-0.171014515,0.900683165
0.506000000,0.102386625,-0.038785583,-0.321620931,-0.141648640,0.900798848
0.526000000,0.096123744,-0.041320557,-0.306241782,-0.114944282,0.896220207
0.546000000,0.090165785,-0.043349141,-0.291112643,-0.090733061,0.887513287
0.566000000,0.084507187,-0.044919406,-0.276283214,-0.068853041,0.875199842
0.586000000,0.079141479,-0.046076256,-0.261795899,-0.049148906,0.859760747
0.606000000,0.074061415,-0.046861563,-0.247686418,-0.031472026,0.841638612
0.626000000,0.069259103,-0.047314298,-0.233984381,-0.015680429,0.821239951
0.646000000,0.064726121,-0.047470669,-0.220713821,-0.001638744,0.798937096
0.666000000,0.060453622,-0.047364245,-0.207893700,0.010781893,0.775069990
0.686000000,0.056432433,-0.047026090,-0.195538389,0.021703951,0.749947914
0.706000000,0.052653138,-0.046484886,-0.183658108,0.031243621,0.723851194
0.726000000,0.049106161,-0.045767062,-0.172259357,0.039510956,0.697032885
0.746000000,0.045781829,-0.044896908,-0.161345306,0.046610004,0.669720447
0.766000000,0.042670442,-0.043896702,-0.150916168,0.052638967,0.642117391
0.786000000,0.039762325,-0.042786817,-0.140969543,0.057690354,0.614404898
0.806000000,0.037047874,-0.041585841,-0.131500736,0.061851148,0.586743407
0.826000000,0.034517605,-0.040310678,-0.122503054,0.065202986,0.559274139
0.846000000,0.032162184,-0.038976657,-0.113968079,0.067822330,0.532120574
0.866000000,0.029972465,-0.037597635,-0.105885917,0.069780666,0.505389868
0.886000000,0.027939511,-0.036186089,-0.098245426,0.071144685,0.479174195
0.906000000,0.026054621,-0.034753216,-0.091034427,0.071976484,0.453552026
0.926000000,0.024309349,-0.033309019,-0.084239889,0.072333762,0.428589334
0.946000000,0.022695513,-0.031862392,-0.077848105,0.072270020,0.404340728
0.966000000,0.021205216,-0.030421206,-0.071844843,0.071834759,0.380850512
0.986000000,0.019830847,-0.028992380,-0.066215486,0.071073681,0.358153683
1.006000000,0.018565091,-0.027581964,-0.060945159,0.070028882,0.336276852
1.026000000,0.017400933,-0.026195201,-0.056018835,0.068739048,0.315239104
1.046000000,0.016331658,-0.024836595,-0.051421436,0.067239645,0.295052794
1.066000000,0.015350853,-0.023509977,-0.047137919,0.065563106,0.275724286
1.086000000,0.014452406,-0.022218560,-0.043153355,0.063739006,0.257254632
1.106000000,0.013630500,-0.020964994,-0.039452990,0.061794248,0.239640197
1.126000000,0.012879611,-0.019751420,-0.036022307,0.059753221,0.222873238
1.146000000,0.012194502,-0.018579518,-0.032847074,0.057637972,0.206942431
1.166000000,0.011570218,-0.017450550,-0.029913387,0.055468359,0.191833355
1.186000000,0.011002078,-0.016365404,-0.027207701,0.053262203,0.177528938
1.206000000,0.010485667,-0.015324632,-0.024716867,0.051035433,0.164009855
1.226000000,0.010016829,-0.014328489,-0.022428147,0.048802219,0.151254900
1.246000000,0.009591657,-0.013376963,-0.020329241,0.046575107,0.139241320
1.266000000,0.009206487,-0.012469807,-0.018408292,0.044365142,0.127945113
1.286000000,0.008857885,-0.011606570,-0.016653905,0.042181983,0.117341306
1.306000000,0.008542641,-0.010786623,-0.015055148,0.040034017,0.107404199
1.326000000,0.008257759,-0.010009179,-0.013601557,0.037928463,0.098107584
1.346000000,0.008000446,-0.009273321,-0.012283136,0.035871470,0.089424945
1.366000000,0.007768103,-0.008578020,-0.011090355,0.033868209,0.081329632
1.386000000,0.007558319,-0.007922152,-0.010014145,0.031922963,0.073795020
1.406000000,0.007368859,-0.007304518,-0.009045895,0.030039205,0.066794641
1.426000000,0.007197652,-0.006723857,-0.008177439,0.028219678,0.060302310
1.446000000,0.007042789,-0.006178859,-0.007401051,0.026466463,0.054292229
1.466000000,0.006902510,-0.005668183,-0.006709432,0.024781047,0.048739075
