sim_time,cart_joint_position,pole_joint_position,cart_joint_velocity,pole_joint_velocity,control_input_0
0.018000000,0.302910774,0.298818316,0.062348506,-0.320047591,-12.777077643
0.038000000,0.301972475,0.287235407,-0.126300765,-0.758588840,-9.135562851
0.058000000,0.297915165,0.268977965,-0.258413329,-1.017067104,-6.530976731
0.076000000,0.292381132,0.249278243,-0.342548699,-1.144162139,-4.654033754
0.098000000,0.283941524,0.223191832,-0.413316763,-1.207962684,-3.294378679
0.118000000,0.275180871,0.198960236,-0.455633699,-1.208039718,-2.303659213
0.138000000,0.265746244,0.175137593,-0.483007362,-1.173208562,-1.575686379
0.158000000,0.255888998,0.152265869,-0.499546148,-1.116918420,-1.034439549
0.178000000,0.245792131,0.130667208,-0.508163444,-1.048365288,-0.625910893
0.198000000,0.235590200,0.110514731,-0.510923123,-0.973731125,-0.312128858
0.218000000,0.225383411,0.091882376,-0.509291366,-0.897089449,-0.066660147
0.238000000,0.215247477,0.074779503,-0.504318007,-0.821060853,0.128760906
0.258000000,0.205240458,0.059174550,-0.496765070,-0.747279879,0.286712394
0.278000000,0.195407472,0.045010961,-0.487196401,-0.676721684,0.415869568
0.298000000,0.185783950,0.032217761,-0.476039285,-0.609926732,0.522261886
0.318000000,0.176397871,0.020716479,-0.463626293,-0.547153021,0.610141676
0.338000000,0.167271335,0.010425605,-0.450223444,-0.488477832,0.682574791
0.358000000,0.158421672,0.001263422,-0.436049053,-0.433864937,0.741836824
0.378000000,0.149862247,-0.006850241,-0.421286307,-0.383208538,0.789675930
0.398000000,0.141603066,-0.013992946,-0.406091680,-0.336361713,0.827485559
0.418000000,0.133651248,-0.020239044,-0.390600587,-0.293154644,0.856417095
0.438000000,0.126011394,-0.025659350,-0.374931262,-0.253406203,0.877452850
0.458000000,0.118685907,-0.030321001,-0.359187443,-0.216931215,0.891453129
0.478000000,0.111675253,-0.034287431,-0.343460315,-0.183544971,0.899186487
0.498000000,0.104978201,-0.037618412,-0.327829960,-0.153065970,0.901349179
0.518000000,0.098592028,-0.040370136,-0.312366483,-0.125317561,0.898577720
0.538000000,0.092512712,-0.042595326,-0.297130946,-0.100128884,0.891457108
0.558000000,0.086735098,-0.044343355,-0.282176150,-0.077335395,0.880526344
0.578000000,0.081253064,-0.045660380,-0.267547343,-0.056779116,0.866282305
0.598000000,0.076059656,-0.046589467,-0.253282845,-0.038308742,0.849182628
0.618000000,0.071147226,-0.047170735,-0.239414645,-0.021779644,0.829648025
0.638000000,0.066507552,-0.047441479,-0.225968946,-0.007053820,0.808064280
0.658000000,0.062131944,-0.047436308,-0.212966679,0.006000184,0.784784082
0.678000000,0.058011350,-0.047187272,-0.200423994,0.017507382,0.760128771
0.698000000,0.054136439,-0.046723993,-0.188352722,0.027586460,0.734390052
0.718000000,0.050497691,-0.046073785,-0.176760801,0.036349910,0.707831688
0.738000000,0.047085465,-0.045261779,-0.165652687,0.043904165,0.680691176
0.754000000,0.044512264,-0.044511249,-0.157115541,0.049144694,0.658703470
