sim_time,cart_joint_position,pole_joint_position,cart_joint_velocity,pole_joint_velocity,control_input_0
0.000000000,0.000000000,0.200000000,0.000000000,0.000000000,-0.000000000
0.020000000,-0.002358955,0.193308189,-0.201322457,-0.563446253,-9.041138855
0.040000000,-0.007900050,0.178202256,-0.330163137,-0.883112310,-5.845099832
0.060000000,-0.015447039,0.158556473,-0.409942831,-1.044555455,-3.655237452
0.080000000,-0.024201511,0.136877540,-0.456359423,-1.104127390,-2.148524236
0.100000000,-0.033620040,0.114764628,-0.480056257,-1.099402310,-1.107324926
0.120000000,-0.043332463,0.093211204,-0.488273557,-1.055439110,-0.383427873
0.140000000,-0.053086471,0.072808211,-0.485934225,-0.988818578,0.124070516
0.158000000,-0.061757087,0.055702685,-0.477591397,-0.918524837,0.483483514
0.180000000,-0.072084852,0.036587305,-0.461897022,-0.827045833,0.740748368
0.200000000,-0.081130860,0.020970270,-0.444033544,-0.743218717,0.926591811
0.220000000,-0.089792828,0.007009279,-0.423870352,-0.661559683,1.061522558
0.240000000,-0.098033518,-0.005357706,-0.402164750,-0.583634946,1.159261319
0.260000000,-0.105828346,-0.016215715,-0.379460279,-0.510300984,1.229061055
0.280000000,-0.113161929,-0.025661617,-0.356156864,-0.441964368,1.277253956
0.300000000,-0.120025744,-0.033797099,-0.332556718,-0.378750589,1.308270007
0.320000000,-0.126416528,-0.040724319,-0.308894242,-0.320612697,1.325300572
0.340000000,-0.132335149,-0.046543272,-0.285355499,-0.267400599,1.330726959
0.360000000,-0.137785787,-0.051350242,-0.262090940,-0.218904894,1.326395195
0.380000000,-0.142775322,-0.055236938,-0.239223795,-0.174884359,1.313791189
0.400000000,-0.147312851,-0.058290064,-0.216855698,-0.135083053,1.294151900
0.420000000,-0.151409306,-0.060591142,-0.195070560,-0.099240833,1.268535737
0.440000000,-0.155077126,-0.062216510,-0.173937318,-0.067099757,1.237867175
0.460000000,-0.158329986,-0.063237408,-0.153511985,-0.038407919,1.202965213
0.478000000,-0.160914873,-0.063694281,-0.135771591,-0.015332811,1.164561799
0.500000000,-0.163650274,-0.063726181,-0.114953761,0.009592998,1.123314089
0.520000000,-0.165749193,-0.063312530,-0.096881279,0.029359988,1.079812970
0.540000000,-0.167495779,-0.062531761,-0.079639611,0.046592564,1.034589361
0.558000000,-0.168780297,-0.061555301,-0.064841474,0.060102654,0.988119180
0.578000000,-0.169903704,-0.060207207,-0.049202786,0.073069320,0.940827563
0.600000000,-0.170789594,-0.058451693,-0.032976453,0.085057180,0.893092615
0.620000000,-0.171295177,-0.056648564,-0.019106595,0.094072946,0.845248894
0.640000000,-0.171532503,-0.054683261,-0.006065798,0.101462815,0.797590701
0.660000000,-0.171518006,-0.052586624,0.006159682,0.107378081,0.750375224
0.680000000,-0.171267813,-0.050386568,0.017586707,0.111960491,0.703825554
0.700000000,-0.170797682,-0.048108280,0.028234777,0.115342541,0.658133556
0.720000000,-0.170122957,-0.045774392,0.038125597,0.117647806,0.613462608
0.740000000,-0.169258527,-0.043405161,0.047282673,0.118991273,0.569950185
0.760000000,-0.168218794,-0.041018636,0.055730961,0.119479688,0.527710297
0.780000000,-0.167017649,-0.038630818,0.063496542,0.119211921,0.486835767
0.800000000,-0.165668451,-0.036255813,0.070606336,0.118279326,0.447400350
0.820000000,-0.164184014,-0.033905979,0.077087843,0.116766113,0.409460704
0.840000000,-0.162576597,-0.031592068,0.082968922,0.114749710,0.373058204
0.860000000,-0.160857902,-0.029323350,0.088277583,0.112301136,0.338220617
0.880000000,-0.159039069,-0.027107746,0.093041816,0.109485361,0.304963638
0.900000000,-0.157130679,-0.024951937,0.097289435,0.106361658,0.273292298
0.920000000,-0.155142762,-0.022861481,0.101047944,0.102983954,0.243202247
0.940000000,-0.153084802,-0.020840912,0.104344424,0.099401164,0.214680932
0.960000000,-0.150965745,-0.018893838,0.107205428,0.095657519,0.187708663
0.980000000,-0.148794016,-0.017023030,0.109656906,0.091792881,0.162259585
1.000000000,-0.146577525,-0.015230507,0.111724126,0.087843042,0.138302564
1.020000000,-0.144323686,-0.013517617,0.113431623,0.083840013,0.115801988
1.040000000,-0.142039432,-0.011885102,0.114803147,0.079812303,0.094718490
1.060000000,-0.139731227,-0.010333175,0.115861628,0.075785178,0.075009609
1.078000000,-0.137638335,-0.009005086,0.116568172,0.072191414,0.056530711
1.100000000,-0.135066539,-0.007469392,0.117128497,0.067824701,0.039469179
1.120000000,-0.132720854,-0.006155976,0.117375869,0.063918845,0.023629709
1.140000000,-0.130372753,-0.004919781,0.117395834,0.060096143,0.008893206
1.160000000,-0.128026644,-0.003759233,0.117201252,0.056348989,-0.004613826
1.180000000,-0.125686579,-0.002672552,0.116813457,0.052700926,-0.017049042
1.200000000,-0.123356241,-0.001657667,0.116249034,0.049160027,-0.028458570
1.220000000,-0.121038985,-0.000712356,0.115523771,0.045733013,-0.038889845
1.240000000,-0.118737863,0.000165719,0.114652644,0.042425314,-0.048390820
1.260000000,-0.116455635,0.000978993,0.113649819,0.039241153,-0.057009401
1.280000000,-0.114194787,0.001729972,0.112528666,0.036183636,-0.064793038
1.300000000,-0.111957545,0.002421215,0.111301769,0.033254851,-0.071788425
1.320000000,-0.109745893,0.003055309,0.109980949,0.030455964,-0.078041272
1.340000000,-0.107561587,0.003634858,0.108577284,0.027787315,-0.083596133
1.360000000,-0.105406167,0.004162464,0.107101133,0.025248510,-0.088496277
1.380000000,-0.103280977,0.004640713,0.105562167,0.022838505,-0.092783589
1.400000000,-0.101187173,0.005072164,0.103969386,0.020555685,-0.096498499
1.420000000,-0.099125737,0.005459338,0.102331154,0.018397939,-0.099679921
1.440000000,-0.097097493,0.005804710,0.100655224,0.016362731,-0.102365224
1.460000000,-0.095103115,0.006110698,0.098948765,0.014447157,-0.104590205
1.478000000,-0.093337575,0.006354370,0.097392637,0.012823881,-0.106398444
1.498000000,-0.091408912,0.006591987,0.095645807,0.011126043,-0.107800557
1.520000000,-0.089327915,0.006815632,0.093709795,0.009385173,-0.108841403
1.540000000,-0.087473155,0.006986977,0.091942153,0.007913570,-0.109550074
1.560000000,-0.085653783,0.007130014,0.090172059,0.006543561,-0.109954273
1.580000000,-0.083869799,0.007246730,0.088403743,0.005271079,-0.110080286
1.600000000,-0.082121126,0.007339032,0.086641043,0.004092011,-0.109952984
1.620000000,-0.080407613,0.007408740,0.084887420,0.003002221,-0.109595842
1.640000000,-0.078729043,0.007457596,0.083145988,0.001997580,-0.109030958
1.660000000,-0.077085141,0.007487258,0.081419533,0.001073978,-0.108279094
1.680000000,-0.075475580,0.007499301,0.079710534,0.000227349,-0.107359712
1.700000000,-0.073899986,0.007495221,0.078021185,-0.000546319,-0.106291021
1.720000000,-0.072357945,0.007476432,0.076353413,-0.001250961,-0.105090017
1.740000000,-0.070849006,0.007444275,0.074708899,-0.001890429,-0.103772536
1.760000000,-0.069372688,0.007400009,0.073089095,-0.002468482,-0.102353299
1.780000000,-0.067928482,0.007344824,0.071495241,-0.002988770,-0.100845965
1.800000000,-0.066515858,0.007279835,0.069928381,-0.003454837,-0.099263177
1.820000000,-0.065134266,0.007206090,0.068389381,-0.003870105,-0.097616611
1.840000000,-0.063783141,0.007124566,0.066878940,-0.004237876,-0.095917028
1.860000000,-0.062461905,0.007036180,0.065397607,-0.004561328,-0.094174317
1.880000000,-0.061169972,0.006941784,0.063945793,-0.004843508,-0.092397548
1.900000000,-0.059906747,0.006842171,0.062523784,-0.005087336,-0.090595010
1.920000000,-0.058671634,0.006738077,0.061131751,-0.005295603,-0.088774264
1.940000000,-0.057464037,0.006630158,0.059767630,-0.005478528,-0.087492614
1.960000000,-0.056283659,0.006517972,0.058405431,-0.005731009,-0.087492614
1.980000000,-0.055130055,0.006401534,0.057105842,-0.005841005,-0.082067407
2.000000000,-0.054001769,0.006284393,0.055851740,-0.005870937,-0.080658365
2.020000000,-0.052898317,0.006166635,0.054620564,-0.005901271,-0.079112632
2.040000000,-0.051819217,0.006048330,0.053414296,-0.005925384,-0.077486119
2.060000000,-0.050763957,0.005929648,0.052234058,-0.005939628,-0.075815822
2.080000000,-0.049732010,0.005810807,0.051080406,-0.005942231,-0.074126426
2.100000000,-0.048722842,0.005692048,0.049953520,-0.005932590,-0.072434576
2.120000000,-0.047735918,0.005573616,0.048853327,-0.005910822,-0.070751629
2.140000000,-0.046770706,0.005455748,0.047779591,-0.005877470,-0.069085433
2.160000000,-0.045826680,0.005338667,0.046731959,-0.005833321,-0.067441487
2.180000000,-0.044903325,0.005222579,0.045710000,-0.005779286,-0.065823688
2.200000000,-0.044000130,0.005107672,0.044713232,-0.005716328,-0.064234829
2.220000000,-0.043116599,0.004994113,0.043741136,-0.005645413,-0.062676913
2.240000000,-0.042252243,0.004882051,0.042793167,-0.005567483,-0.061151376
2.260000000,-0.041406587,0.004771617,0.041868767,-0.005483441,-0.059659230
2.280000000,-0.040579164,0.004662922,0.040967365,-0.005394138,-0.058201157
2.300000000,-0.039769522,0.004556064,0.040088388,-0.005300369,-0.056777584
2.320000000,-0.038977219,0.004451124,0.039231259,-0.005202875,-0.055388732
2.340000000,-0.038201823,0.004348168,0.038395403,-0.005102337,-0.054034647
2.360000000,-0.037442915,0.004247250,0.037580249,-0.004999382,-0.052715237
2.380000000,-0.036700088,0.004148413,0.036785233,-0.004894584,-0.051430285
2.400000000,-0.035972945,0.004051686,0.036009795,-0.004788464,-0.050179476
2.420000000,-0.035261100,0.003957093,0.035253386,-0.004681496,-0.048962402
2.440000000,-0.034564180,0.003864644,0.034515466,-0.004574109,-0.047778584
